"Label","ID","Detection quality","Spot N links","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots","AP","AP","Somite","Somite"
"",""," "," ","Center ch1","Center ch2"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","X","Y","Z","Mean ch1","Mean ch2"," "," "," ","Anterior","Posterior","16","17"
"","","","","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(micron)","","","","","",""
"65","65","","2","1156.1343992944842","4372.208245637095","65","1048.6607354685646","232.33722361143066","537.0","1360.0","1048.0","884021.0","4089.5112692763937","615.6116810589489","2352.0","4535.0","4081.0","3447458.0","299.6168567696352","576.0856693273525","123.97652919065128","830.0","3373.0","3.186308177103567","0","132","0","1","1","0"
"66","66","","2","1115.6444235278084","4283.771992938056","64","1014.6206060606061","220.35318695689287","550.0","663.0","1029.0","837062.0","4033.1478787878787","658.465576168207","2297.0","3781.0","4081.0","3327347.0","299.7220857116032","575.2657127809098","123.97988267995359","777.0","3248.5","3.186308177103567","0","132","0","1","1","0"
"67","67","","2","1175.646058340663","4518.967738097207","63","1079.0334773218142","250.16751136572898","457.0","2013.0","1100.0","999185.0","4232.233261339093","752.7148224319114","2324.0","6694.0","4327.0","3919048.0","300.27878443876307","575.245002649773","124.16995834373546","862.0","3695.8333333333335","3.3418282091431273","0","132","0","1","1","0"
"68","68","","2","1261.2548562659308","5045.407092103271","62","1130.25","280.1654427238589","546.0","2135.0","1137.0","1048872.0","4613.606681034483","821.0955237711639","3066.0","6793.0","4557.0","4281427.0","300.47019733063","576.2934824655867","122.71471678063996","773.6666666666666","3630.3333333333335","3.3418282091431273","0","132","0","1","1","0"
"69","69","","2","1176.6912886399625","4864.725641444005","61","1047.1790429042903","279.81113151725384","508.0","714.0","1037.0","1269181.0","4461.05198019802","803.0929093684164","2557.0","7072.0","4468.0","5406795.0","299.934718222326","576.0830541075421","122.90800633643869","862.6","3815.0","3.676011030057441","0","132","0","1","1","0"
"70","70","","2","1230.9569361660795","4866.658653060695","60","1080.9816666666666","307.72119406201347","485.0","665.0","1049.0","1297178.0","4436.833333333333","854.411955897667","2418.0","3650.0","4395.0","5324200.0","300.39585475879886","576.06330967251","123.03012004024471","810.5","3700.1666666666665","3.676011030057441","0","132","0","1","1","0"
"71","71","","2","1332.045642015091","5187.134210731401","59","1186.6110458284372","316.34846805785554","589.0","1405.0","1161.0","1009806.0","4791.227967097532","817.0107967998398","3038.0","5370.0","4780.0","4077335.0","300.25986625395666","575.6778999235102","123.00150137126228","884.3333333333334","3859.3333333333335","3.186308177103567","0","132","0","1","1","0"
"72","72","","2","1196.8872188163375","4922.350170158348","58","1077.40888066605","273.9108960193037","518.0","681.0","1066.0","1164679.0","4576.395929694727","794.2948646336677","2694.0","6373.0","4628.0","4947084.0","298.70866519945736","574.6788881574503","124.08473559025116","767.5","3672.75","3.504938994813924","0","132","0","1","1","0"
"73","73","","2","1203.5960785971765","4701.994609035151","57","1101.4913294797689","236.0387218880519","527.0","1834.0","1114.0","1333906.0","4391.462427745665","643.63124743759","2511.0","6726.0","4382.0","5318061.0","298.929281990954","574.2633706238882","125.52987610133923","869.8","3597.6","3.676011030057441","0","132","0","1","1","0"
"74","74","","2","1169.2783680298614","4578.189474697449","56","1054.1218697829715","244.03724911010218","526.0","1564.0","1054.0","1262838.0","4312.364774624374","719.1999033047248","2538.0","5751.0","4338.0","5166213.0","299.6044885640533","574.1641432535955","124.81943934585823","836.0","3637.1666666666665","3.676011030057441","0","132","0","1","1","0"
"75","75","","2","1174.064519916474","4882.588423666128","55","1063.0116569525396","246.64008162503157","486.0","1622.0","1059.0","1276677.0","4532.961698584513","789.5745300677944","2607.0","6615.0","4433.0","5444087.0","299.90834963381957","574.8640612724106","124.65336522770531","801.8333333333334","3683.0","3.676011030057441","0","132","0","1","1","0"
